ID,Area,Scenario / Requirement,Expected Result,Blocking,Proof Type,Required Witness,Negative Mutation / Checker
B-013,Directory durability,New journal/recovery files are created or recovery seal is atomically replaced.,Parent directory is fsynced after first durable creation/rename before readiness/settlement barrier is satisfied.,YES,source+fault,parent_directory_fsync_required,remove directory fsync
B-014,Journal reopen,Existing valid file journal is reopened.,Full scan/hash-chain validation succeeds and writer position is at valid EOF; no truncation occurs.,YES,fs_integration,file_journal_reopen_roundtrip,skip scan
B-015,Torn/corrupt journal,File ends in a partial/torn/corrupt frame.,Fail closed/manual intervention; no automatic truncate/repair and no provider invocation.,YES,fault_injection,torn_tail_is_not_auto_repaired,auto-truncate tail
B-016,External mutation,Journal length/hash frontier changes outside the owned writer.,ExternalMutationDetected / NotReady before further append/effect.,YES,fault_injection,external_journal_mutation_blocks,disable frontier verification
B-017,Durability uncertainty,sync_data reports failure/uncertainty during append.,Authority becomes durability-uncertain; no effect/ACK/XACK; subsequent appends remain blocked until restart/recovery.,YES,fault_injection,journal_sync_failure_blocks_effect,ignore sync error
B-018,Receipt semantics,Stage 6 append returns a durable append receipt.,Receipt is returned only after the file sync barrier and validated frontier update; no pre-sync receipt escapes.,YES,ordered_trace,append_receipt_after_sync_only,move receipt before sync
B-019,Semantic parity,Same canonical Stage 6 record sequence is applied to Memory and File backends.,"Records, frontier/checkpoint and replay semantic fingerprint are identical.",YES,unit,memory_file_backend_semantic_parity,alter file record encoding
B-020,Reopen parity,File backend is closed and reopened after valid frames.,Replay/checkpoint fingerprint is identical before and after reopen.,YES,fs_integration,file_reopen_replay_fingerprint_parity,skip checkpoint validation
B-021,Writer lock,Stage 7B process starts.,Kernel/OS-level exclusive writer lock is acquired before journal/recovery state is opened for writable service use.,YES,subprocess,writer_lock_precedes_journal_open,open journal before lock
B-022,Concurrent writer,Second process targets the same durable identity/data directory while first holds lock.,Second process fails closed and never attaches Redis consumer or mutates journal/seal.,YES,subprocess,second_process_writer_lock_rejected,allow shared lock
B-023,Crash lock release,Lock-holding child process is killed abruptly.,OS releases lock; a new process can acquire it and recover without deleting a stale sentinel as authority.,YES,subprocess,killed_writer_releases_kernel_lock,use create_new sentinel as authority
B-024,Lock lifetime,Service is running/processing Redis.,Writer lock remains held for the entire writable service lifetime and is released only after service stops/aborts.,YES,integration,writer_lock_lifetime_covers_consumer,drop lock before consumer
B-025,Redis attach ordering,Service starts but writer lock/recovery validation has not completed.,XGROUP/XREADGROUP/XAUTOCLAIM consumer processing is not attached/started yet.,YES,ordered_trace,redis_attach_after_storage_ready,start Redis before storage
B-026,Linear ownership,File journal/writer lease type is inspected.,Writable file authority is non-Clone and not serializable; raw File/lock handle is not duplicated across independent authorities.,YES,compile_fail,file_authority_linear_ownership,derive Clone/Serialize
B-027,Stage5 seed,First durable boot is requested.,A source-produced authenticated Stage 5G clean-restart seed is required; Stage 7B must not invent a Stage 5 package from transport state.,YES,integration,first_boot_requires_stage5g_seed,allow empty/fake seed
B-028,Seed validation,Stage 5G seed/restart package is supplied.,It is authenticated/validated against expected runtime/config before becoming part of the initial Stage 7B recovery seal.,YES,negative,invalid_stage5g_seed_rejected,accept unvalidated seed
B-029,Initial seal,First durable boot completes empty Stage 6 journal initialization.,An authenticated recovery seal covering the empty/current checkpoint is durably persisted before PaperReady or Redis command consumption.,YES,ordered_trace,initial_recovery_seal_before_ready,ready before initial seal
B-030,Recovery seal schema,Recovery seal is serialized.,"Canonical versioned structure binds Stage6D restart package SHA, checkpoint/frontier fingerprint, operational identity fingerprint and seal generation; secret commitment key is never serialized.",YES,unit+static,recovery_seal_canonical_roundtrip,serialize raw commitment key
B-031,Atomic seal write,Recovery seal is updated.,Write temp in same directory -> sync file -> atomic rename -> fsync parent directory; never in-place overwrite authoritative seal.,YES,fault_injection,recovery_seal_atomic_replace,overwrite seal in place
B-032,Orphan temp,Crash leaves recovery-seal temp file before rename.,Restart ignores temp as authority and uses last valid committed seal.,YES,subprocess_fault,orphan_temp_never_authoritative,load newest temp
B-033,Corrupt seal,"Committed recovery seal is malformed, noncanonical or hash-invalid.",Fail closed; do not silently fall back to generated defaults or enable effect.,YES,negative,corrupt_recovery_seal_rejected,ignore seal corruption
B-034,Checkpoint binding,Recovery seal references a Stage 6 checkpoint.,Checkpoint must validate against the opened file journal frontier/history; otherwise NotReady.,YES,integration,seal_checkpoint_validates_journal,skip checkpoint validation
B-035,Seal without journal,Recovery seal exists but journal is absent.,Fail closed; do not create empty journal and accept the seal.,YES,fs_integration,seal_without_journal_rejected,auto-create journal
B-036,Journal without seal,Journal exists but committed recovery seal is absent on restart.,Enter explicit RecoveryBlocked/ManualIntervention; do not start a fresh first boot and do not effect/XACK.,YES,fs_integration,journal_without_seal_recovery_blocked,implicit first boot
B-037,Operational identity,Seal/restart package operational identity differs from configured account/strategy/deployment generation.,Fail closed before Redis consumer attach/effect.,YES,negative,recovery_operational_identity_mismatch,ignore identity mismatch
B-038,Authentication,Stage6D restart package digest/HMAC/checkpoint digest is mutated.,Authentication/commitment validation fails; no recovery dispatch or XACK.,YES,negative,recovery_hmac_digest_mismatch,skip HMAC/digest check
B-039,Historical journal ahead,Journal contains only additional finalized Stage 6 requests beyond the Stage5 seed/checkpoint.,Restart may accept them as historical replay when accepted Stage6/Stage5 cross-binding rules permit; no loss/truncation.,YES,restart_integration,finalized_journal_ahead_restarts,require exact checkpoint==EOF
B-040,Unbound non-final,Journal has a non-final request not represented by the Stage5 restart package.,"Enter RecoveryBlocked; no blind dispatch, provider call, ACK/DLQ/XACK.",YES,restart_integration,unbound_nonfinal_request_blocks,ignore cross-binding failure
B-041,Cross-bound active,Stage5 restart package represents the same active request as the file journal.,Restart reconstructs the accepted Stage5/Stage6 authority and preserves Stage6 dispatch-safety classification.,YES,restart_integration,cross_bound_active_request_restarts,drop active cross-binding
B-042,RecoveryBlocked behavior,Service is in RecoveryBlocked due to missing/mismatched Stage5/Stage6 authority.,"Redis entry may remain visible/pending for diagnostics but no paper provider invocation, no settlement and readiness is false.",YES,integration,recovery_blocked_has_zero_effect,process command while blocked
B-043,Durable-before-effect,New valid command is admitted in Stage 7B.,"RequestAccepted is fsync-confirmed, then DispatchAttemptRecorded is fsync-confirmed, and only then may paper provider be called.",YES,ordered_trace,file_fsync_before_paper_effect,call provider before dispatch sync
B-044,Crash after accepted,Process is killed after durable RequestAccepted but before durable DispatchAttemptRecorded.,"On restart/redelivery, Stage6 replay may append the missing dispatch-attempt once and only then invoke paper provider; no second RequestAccepted.",YES,subprocess_fault,crash_after_accepted_recovers_once,duplicate accepted
B-045,Crash after dispatch,Process is killed after durable DispatchAttemptRecorded but before provider call.,Restart classifies request as ReconciliationRequired/hold; no blind paper redispatch.,YES,subprocess_fault,crash_after_dispatch_never_blind_redispatch,redispatch after dispatch record
B-046,Crash during effect,Paper provider may have executed but no durable outcome record exists when process dies.,Restart remains ReconciliationRequired/hold; provider is not blindly reinvoked.,YES,subprocess_fault,crash_during_effect_requires_reconciliation,reinvoke provider
B-047,Crash after outcome,Durable broker/paper outcome exists but RequestFinalized/ACK settlement does not.,Restart reconstructs the terminal command transition/canonical ACK from journal facts without invoking provider again.,YES,subprocess_fault,outcome_record_reconstructs_finalization_and_ack,require process cache
B-048,Crash after finalization,RequestFinalized is durable but Redis ACK settlement has not committed.,Restart reconstructs canonical first ACK from file journal/replay and settles it without provider invocation.,YES,subprocess_fault,finalized_request_reconstructs_canonical_ack,emit first Duplicate
B-049,Seal barrier,A command reaches durable RequestFinalized.,"Before transport settlement/XACK, a valid committed recovery seal must cover a checkpoint at or beyond the command finalization frontier.",YES,ordered_trace,recovery_seal_before_xack,xack before seal
B-050,Seal failure,Request is finalized but recovery seal update fails.,"Command remains pending/unsettled, readiness false; no ACK/DLQ/XACK settlement barrier is crossed.",YES,fault_injection,seal_failure_blocks_settlement,ignore seal failure
B-051,Crash after seal,Recovery seal is committed but Redis ACK settlement has not committed.,Restart can reconstruct and settle canonical ACK; provider not called.,YES,subprocess_fault,crash_after_seal_before_ack_settlement,invoke provider
B-052,Exact duplicate restart,After process restart a new Redis entry carries the exact same StrategyRequestId/command.,Stage6 replay/dedupe handles it; no new semantic effect or second RequestAccepted.,YES,real_redis_restart,exact_duplicate_after_restart_is_noop,mint new execution identity
B-053,Conflicting duplicate restart,After restart same StrategyRequestId carries changed immutable identity.,Pending IdentityConflict/ConflictingDuplicate; no ACK/DLQ/XACK and no provider.,YES,real_redis_restart,conflicting_duplicate_after_restart_pending,benign reject/xack
B-054,Sequential cancel restart,Finalized LIMIT PLACE with working broker-order identity survives restart; subsequent correlated CANCEL arrives.,CANCEL resolves exact Stage6-correlated target and is admitted only when max-one non-final rule permits.,YES,restart_integration,sequential_cancel_after_restart,invent unrelated target
B-055,Cross-process ACK source,Process restarts with a finalized request and no Stage7A in-memory ack_publications/canonical_ack_recoveries.,"Canonical ACK is reconstructed deterministically from durable Stage6 journal/replay, not from lost process memory.",YES,restart_integration,canonical_ack_from_journal_not_cache,depend on process cache
B-056,Canonical vs Duplicate,No canonical ACK has ever been durably/transport-published for a recovered finalized request.,First recovered ACK is canonical terminal ACK; Duplicate/DuplicateCommand is used only after known canonical settlement/publication.,YES,oracle_integration,first_ack_after_restart_is_canonical,emit first Duplicate
B-057,Redis settlement primitive,ACK settlement is executed for a pending command.,Use one reviewed idempotent Redis settlement primitive (Lua/transaction+marker or equivalent) that couples ACK publication identity with command XACK and has a stable settlement fingerprint.,YES,real_redis,atomic_idempotent_ack_settlement,separate best-effort XADD then XACK
B-058,Settlement identity,Settlement marker/fingerprint is inspected.,It is transport-only and derived from command entry/group + ACK/DLQ fingerprint; it never becomes StrategyRequestId/ClientOrderId/Stage6 execution identity.,YES,static+unit,settlement_identity_not_execution_identity,feed marker into Stage6 identity
B-059,Settlement response loss,Redis settlement commits but client/process receives an injected response error/unknown result.,Recovery proves settlement from Redis PEL/marker/output and does not publish duplicate canonical ACK or re-effect command.,YES,real_redis_fault,settlement_response_loss_is_idempotent,blindly repeat XADD
B-060,Settlement failure,Redis settlement primitive fails before commit or Redis is unavailable.,"Command remains pending, no false successful settlement state/readiness; retry is idempotent.",YES,real_redis_fault,settlement_failure_keeps_pel,xack on error
B-061,DLQ settlement,Permanent poison input is settled in Stage 7B.,DLQ publication + command XACK use the same reviewed idempotent/atomic settlement rules; raw payload remains redacted.,YES,real_redis,atomic_idempotent_dlq_settlement,best-effort DLQ then XACK
B-062,Authority hold,Stage6/recovery result is IdentityConflict/ReconciliationRequired/RecoveryBlocked.,Never perform transport success settlement or DLQ-as-benign path; command remains pending/held.,YES,integration,holds_never_xack,xack hold
B-063,Settlement readiness,ACK/DLQ settlement backend is unavailable or uncertain.,Command-path readiness is degraded/not-ready until exact settlement health is restored and blocked entries are cleared.,YES,real_redis_fault,settlement_outage_not_ready,heal on source poll
B-064,Storage readiness,"Writer lock, journal, durability flag or recovery seal is invalid/unavailable.",PaperReady is impossible regardless of Redis source health.,YES,integration,storage_failure_dominates_readiness,ignore file/seal health
B-065,Redis freshness,Stage7A source-poll and claim-scan freshness rules run under Stage7B.,Both remain independently required; storage readiness does not mask stale source/claim state.,YES,regression,source_claim_freshness_preserved,merge freshness timestamps
B-066,Composite readiness,Normal Stage7B service reports PaperReady.,Requires external task alive + writer lock held + file journal valid/durability-certain + committed recovery seal valid + Stage5/6 recovery authority ready + Redis source/claim fresh + settlement available + no blocked uncertainty.,YES,integration,composite_paper_ready_requires_all,omit one readiness dependency
B-067,Task abort,"Supervised Stage7B service task is normally returned, errors, panics, or is explicitly aborted/cancelled.",External readiness/liveness becomes false in all four cases; no stale PaperReady survives.,YES,async_integration,stage7b_supervisor_normal_error_panic_abort,omit abort guard
B-068,New boot consumer,Service process restarts after crash.,New process boot UUID yields a new Redis consumer name; old PEL ownership is recovered by XAUTOCLAIM after configured idle threshold.,YES,subprocess+redis,new_boot_consumer_reclaims_old_pel,reuse consumer name
B-069,Claim cursor restart,New process starts with a fresh transport scan cursor.,Cursor reset is allowed but it is transport-only; repeated bounded XAUTOCLAIM reaches eligible PEL entries and never changes execution identity.,YES,real_redis_restart,restart_claim_scan_eventually_reaches_tail,persist cursor as execution state
B-070,Legacy authority isolation,Stage7B recovery encounters legacy SQLite/M3 state that disagrees with Stage6.,Stage7B ignores legacy state for execution authority and follows Stage6 journal/replay only.,YES,negative+source,legacy_order_path_not_authoritative,consult legacy state
B-071,No exactly-once overclaim,Stage7B documentation/status/descriptor is inspected.,"May claim fsync-before-effect, stable identity, crash recovery and no-blind-redispatch; MUST NOT claim exactly-once external broker effect before Stage8/9 reconciliation.",YES,governance_gate,cross_process_exactly_once_claimed=false,set exactly-once=true
B-072,Real infrastructure tests,Stage7B integration suite runs.,"Uses real Redis, real filesystem, kernel file lock and real subprocess kills/restarts; mocks alone are insufficient.",YES,ci_integration,real_redis_real_fs_subprocess=true,replace with mock only
B-073,Cross-process fault matrix,Pinned Stage7B crash/fault matrix is evaluated.,Exactly X01-X20 are mapped to exact behavioral/static witnesses; all blocking points pass.,YES,fault_matrix,stage7b_fault_matrix 20/20,remove one fault mapping
B-074,Focused debug/release,Stage7B focused core/service tests are run.,All focused tests pass in debug and release.,YES,gate,focused debug + release artifacts,omit release
B-075,Regression gates,Full regression is run.,"Workspace/all-targets, doctests/compile-fail, fmt, clippy -D warnings, accepted Stage7A full gate and its inherited Stage6 authority all pass.",YES,inherited_gate,detached Stage7A accepted gate + workspace artifacts,remove inherited Stage7A gate
B-076,Negative inventory,Stage7B negative mutation harness runs.,Expected mutation count is pinned in source descriptor; exact count must match inventory and every mutation is detected.,YES,negative_harness,negative_case_count exact descriptor pin,derive expected from current list
B-077,Acceptance proof map,Stage7B acceptance generator runs.,"Exactly 80 frozen rows are evaluated; each blocking row has an exact proof type, rationale, artifact and witness proving the row semantics—not merely adjacent token presence.",YES,acceptance_report,80/80 semantic proof map,allow missing/adjacent witness
B-078,Artifact integrity,Review handoff is generated.,"Clean exact commit, archive-safe paths, source-tree manifest, evidence hashes and SHA sidecar all bind to the same source ref.",YES,preseal,handoff source manifest + sidecar,omit manifest/evidence hash
B-079,No hidden Stage8,Stage7B changed-path/dependency scan is inspected.,"No Stage8 adapter, FINAM transport attach, real endpoint or runtime-live code is smuggled into Stage7B commit.",YES,closed_surface,changed-path Stage8/live scanner,add Stage8 code
B-080,Exit governance,Stage7B candidate is independently accepted.,Only Transition Gate 7→8 / Stage8A specification may open next; FINAM real execution remains closed until a separate accepted gate.,YES,governance_gate,post-acceptance roadmap rule,auto-open real execution
