ID,Area,Scenario,Expected Result,Blocking,Evidence
A-031,Consumer health,Consumer loop is running and Redis polls/claims within configured freshness threshold.,command_consumer_alive=true and readiness may be paper-ready if all other dependencies are healthy.,YES,unit + integration
A-032,Consumer death,Consumer task exits/panics/errors.,Supervisor marks command-path readiness false; no stale ready state survives.,YES,supervision test
A-033,Redis outage,Redis read/claim connection fails.,No XACK assumption; readiness false/degraded; bounded retry/backoff; no task silently dies while ready remains true.,YES,fault injection
A-034,ACK Redis outage,ACK stream unavailable.,No XACK; pending retained; readiness reflects command settlement failure.,YES,fault injection
A-035,DLQ Redis outage,DLQ stream unavailable for poison command.,No XACK; pending retained; readiness/degraded reason explicit.,YES,fault injection
A-036,Consumer name,Two process instances use auto consumer names.,Names are process-instance unique; Redis consumer name never participates in execution identity.,YES,unit
A-037,Group creation,Consumer group already exists.,"BUSYGROUP is treated as idempotent attach, not fatal; group is not recreated/reset.",YES,Redis integration
A-038,Group start,New group start policy is explicit/configured (Tail for operator-like attach; Beginning allowed only for controlled test/replay).,No implicit replay of historical command backlog.,YES,config test
A-039,Readiness,Stage 7A has a second unresolved lifecycle blocked by CF-1 policy.,Readiness/reason exposes blocked/deferred command state; no hidden queue-to-effect progression.,YES,unit
A-040,Temporal authority,Any Stage 7A provider/fixture that constructs fresh-truth timestamps.,Local receive/collection/observed timestamps are minted inside trusted host/provider boundary; Redis/broker source timestamps are not trusted as local authority.,YES,source check + negative
A-041,Temporal interval,Fresh-truth row receipt is before collection_started_at.,Reject/fail closed or provider cannot construct such accepted input; document exact policy.,YES,focused negative
A-042,Legacy M3e,Legacy M3e/M3h code exists in repository.,May be used as oracle/fixtures only; Stage 7A execution decision never consults its lifecycle store.,YES,source scanner
A-043,Old SQLite order path,Legacy OrderPathStore state disagrees with Stage 6 in a test fixture.,Stage 7A ignores it for execution authority; Stage 6 remains sole authority.,YES,negative/source check
A-044,No production restart claim,Process is killed and restarted while Stage 7A uses memory-backed Stage 6 integration.,Stage 7A documentation/gate MUST NOT claim crash-safe cross-process exactly-once; this remains Stage 7B.,YES,documentation checker
A-045,Same-process crash windows,"Fault points: after XREADGROUP, after Stage6 accepted, after dispatch-attempt record, after paper outcome, after ACK XADD, before XACK.",Every point has explicit pending/redelivery outcome and never creates a second semantic execution within the same accepted Stage6 authority.,YES,fault matrix
A-046,Real Redis,"Integration test uses an actual Redis server/service, not only a mocked command API.",XGROUP/XREADGROUP/XAUTOCLAIM/XACK semantics proven against Redis.,YES,CI integration
A-047,No FINAM network,All Stage 7A tests run with network broker dispatch disabled.,Zero FINAM POST/DELETE requests; no external order endpoint.,YES,forbidden-surface + test witness
A-048,Debug/release,Focused Stage 7A tests.,All pass in debug and release.,YES,gate
A-049,Workspace regression,"Workspace tests, doctests/compile-fail, fmt, clippy -D warnings and inherited Stage 6 gates.",All green.,YES,full gate
A-050,Negative harness,Mutation/negative harness removes or weakens each critical guard.,Every mutation is detected; expected matrix count is pinned in descriptor.,YES,negative harness
A-051,Handoff,Review archive generated from clean exact commit with source-tree manifest and SHA sidecar.,Archive safe; manifest all members hash-match; evidence hashes bound to commit.,YES,preseal/handoff
A-052,Governance,current-status/roadmap after implementation.,Stage 6 closed at 10e3578; Stage 7A review candidate; Stage 7B/8+ remain closed.,YES,doc checker

