id,mandatory,requirement,proof
S8A3R1-035,YES,PLACE 401 is auth blocked,place_auth_and_configuration_statuses_are_endpoint_specific_blocks
S8A3R1-036,YES,PLACE 404 is config or instrument blocked,place_auth_and_configuration_statuses_are_endpoint_specific_blocks
S8A3R1-037,YES,PLACE 429 and documented 5xx reconcile,place_transient_and_undocumented_statuses_reconcile
S8A3R1-038,YES,PLACE undocumented statuses reconcile,place_transient_and_undocumented_statuses_reconcile
S8A3R1-039,YES,Exact CANCEL 200 yields candidate,cancel_exact_200_is_candidate_without_flatness_semantics
S8A3R1-040,YES,CANCEL candidate preserves exact target id,cancel_exact_200_is_candidate_without_flatness_semantics
S8A3R1-041,YES,Empty CANCEL 200 reconciles,cancel_empty_malformed_or_contradictory_200_reconciles
S8A3R1-042,YES,Malformed CANCEL 200 reconciles,cancel_empty_malformed_or_contradictory_200_reconciles
S8A3R1-043,YES,CANCEL target mismatch reconciles,cancel_empty_malformed_or_contradictory_200_reconciles
S8A3R1-044,YES,CANCEL 204 reconciles,cancel_204_and_other_undocumented_2xx_reconcile
S8A3R1-045,YES,CANCEL 400 already-executed reconciles,cancel_status_table_is_fail_closed_and_endpoint_specific
S8A3R1-046,YES,CANCEL 401 blocks auth and requires reconciliation,cancel_status_table_is_fail_closed_and_endpoint_specific
S8A3R1-047,YES,CANCEL 404 reconciles,cancel_status_table_is_fail_closed_and_endpoint_specific
S8A3R1-048,YES,CANCEL 409 and 410 reconcile,cancel_status_table_is_fail_closed_and_endpoint_specific
S8A3R1-049,YES,CANCEL 429 and documented 5xx reconcile,cancel_status_table_is_fail_closed_and_endpoint_specific
S8A3R1-050,YES,Body-read failure reconciles,local_failure_observations_always_require_reconciliation
S8A3R1-051,YES,Timeout reconciles,local_failure_observations_always_require_reconciliation
S8A3R1-052,YES,Disconnect reconciles,local_failure_observations_always_require_reconciliation
S8A3R1-053,YES,Response loss reconciles,local_failure_observations_always_require_reconciliation
S8A3R1-054,YES,Same status has endpoint-specific semantics,same_status_has_endpoint_specific_semantics
S8A3R1-055,YES,Public diagnostic excludes raw identities,public_diagnostic_is_redacted_and_deterministic
S8A3R1-056,YES,Public diagnostic is deterministic,public_diagnostic_is_redacted_and_deterministic
S8A3R1-057,YES,Invalid context fails before classification,invalid_context_is_rejected_before_classification
S8A3R1-058,YES,Historical classifier is not called,stage8a3_check.py
S8A3R1-059,YES,No generic 4xx rejection policy exists,stage8a3_check.py
S8A3R1-060,YES,No network or historical real transport exists,stage8a3_check.py
S8A3R1-061,YES,No retry or DefinitelyNotSent exists,stage8a3_check.py
S8A3R1-062,YES,No reconciliation or ProvenNoMatch implementation exists,stage8a3_check.py
S8A3R1-063,YES,No Redis runtime-live real-order or protective surface exists,stage8a3_check.py
S8A3R1-064,YES,Acceptance opens Stage 8A-4 only,stage8a3-r1-implementation-descriptor.json
S8A3R2-065,YES,PLACE context rejects a missing or blank FINAM venue symbol,invalid_context_is_rejected_before_classification
S8A3R2-066,YES,Historical classifier aliases are rejected,stage8a3_negative_harness.py
S8A3R2-067,YES,Current status and roadmap identify only Stage 8A-3 R2 as pending,stage8a3_check.py
