id,category,requirement,expected,mandatory,proof_type,negative_mutation
S8A1R2-021,arm,Operator arm authority is opaque,Private fields/no public literal construction,YES,compile_fail,public arm fields
S8A1R2-022,arm,Operator arm authority is linear,No Clone/Copy/Serialize/Deserialize,YES,compile_fail,clone arm authority
S8A1R2-023,arm,Arm nonce is unique and bound,Production arm issuer owns unique nonce registry; duplicate logical nonce issuance fails,YES,issuer_integration,duplicate arm nonce
S8A1R2-024,arm,One arm mints at most one capability,Production-issued arm authority can mint at most one capability; duplicate issuance/use fails,YES,issuer_integration+compile_fail,reuse arm twice
S8A1R2-025,arm,Arm binds durable request ID,Exact StrategyRequestId match,YES,unit,change request id
S8A1R2-026,arm,Arm binds durable ClientOrderId,Exact stable client id match,YES,unit,change client id under same arm
S8A1R2-027,arm,Arm binds exact account/instrument/venue,All exact scope identities match,YES,unit,change venue symbol
S8A1R2-028,arm,Arm binds strategy owner/cycle/action,Structured attribution exact,YES,unit,change owner/cycle/action
S8A1R2-029,arm,Arm binds command kind/side/qty,"PLACE/CANCEL, side and quantity exact",YES,unit,change side or qty
S8A1R2-030,arm,Arm binds LIMIT price or MARKET reference guard,Exact limit price or exact reference-price guard digest,YES,unit,change price/reference guard
S8A1R2-031,arm,Arm binds notional/slippage/reference-age limits,Exact execution risk guard values/digest,YES,unit,widen risk guard
S8A1R2-032,arm,Arm binds build/config/endpoint-policy digests,All accepted digests exact,YES,unit,change endpoint-policy digest
S8A1R2-033,arm,Arm TTL is frozen and bounded,Caller cannot choose arbitrary max TTL,YES,policy_authority,widen arm TTL
S8A1R2-034,restart,Restart invalidates arm/capability authority,Current nonzero generation exact,YES,unit,reuse across restart
S8A1R2-035,config,Config drift invalidates authority,Current accepted config/policy digest exact,YES,unit,reuse across config drift
S8A1R2-036,policy,Execution policy is opaque/provenance-backed,Opaque frozen policy is issued from accepted current configuration source and full relevant policy surface; no self-hash-only provenance,YES,issuer_integration,construct arbitrary policy authority
S8A1R2-037,policy,Exact account/instrument/strategy allowlist is bound,Deny by default exact entries,YES,unit,widen allowlist
S8A1R2-038,policy,MARKET/LIMIT and DAY only,No other order type/TIF,YES,unit+negative,allow non-DAY
S8A1R2-039,limits,All quantity/price limit fields are frozen,min_qty/qty_step/max_qty/price_step/max_market_qty exact,YES,unit,widen max qty
S8A1R2-040,limits,Notional limits are frozen,max_notional_per_order/run exact and present as accepted policy,YES,unit,remove notional limit
S8A1R2-041,limits,Slippage/reference freshness is frozen,max_limit_deviation_bps/max_reference_age_ms exact,YES,unit,widen reference age
S8A1R2-042,schedule,Trading-session/schedule eligibility is required,Current exact schedule authority says eligible; unknown/closed fails,YES,unit,ignore schedule
S8A1R2-043,kill_switch,Kill-switch authority is provenance-backed,"Opaque kill-switch authority is issued by the persistent kill-switch reader/current revision, not by private test literals or digest shape",YES,issuer_integration,forge RunAllowed proof
S8A1R2-044,kill_switch,Kill switch state must be RunAllowed,StopRequested/stale/unreadable/conflict blocks,YES,unit,remove RunAllowed
S8A1R2-045,ownership,Single-broker ownership is exact and strategy-scoped,FINAM count=1 plus exact strategy/account/instrument owner binding,YES,unit,use ownership for another strategy
S8A1R2-046,ambiguity,Zero ambiguity is exact and scope-bound,Counters zero for exact strategy/account scope,YES,unit,use zero counters from other scope
S8A1R2-047,broker_truth,Fresh broker truth authority is required,Opaque fresh broker-truth authority is issued from accepted current account/instrument truth source,YES,issuer_integration,omit broker truth
S8A1R2-048,budget,Max-one engineering-micro budget authority is required,Opaque max-one budget authority is issued from trusted strategy/account budget source; unavailable/exhausted fails,YES,issuer_integration,omit/exhaust budget
S8A1R2-049,freshness,Evidence-age bounds are frozen,Caller cannot choose arbitrary max_evidence_age_ms,YES,policy_authority,widen evidence age
S8A1R2-050,clock,Freshness uses trusted current clock,Opaque trusted clock is production-issued/current; public caller cannot choose backdated time,YES,issuer_integration,backdate now
S8A1R2-051,coherence,All proof authorities share one operational identity,same account/instrument/strategy/restart/config/seal generation,YES,unit,mix proof scopes
S8A1R2-052,expiry,Capability validity is minimum of all authority expiries,No proof outlives weakest prerequisite,YES,unit,ignore one expiry
S8A1R2-053,cancel,CANCEL requires exact durable mapping,Exact existing order target and identities,YES,unit,bypass cancel mapping
S8A1R2-054,cancel,Terminal CANCEL mints no capability,AlreadyTerminal only,YES,unit,capability for terminal
S8A1R2-055,audit,Audit fingerprint binds exact command and authorities,"Includes durable command fingerprint, arm nonce, policy/seal/proof digests",YES,unit,omit command from audit fingerprint
S8A1R2-056,closed_surface,Allowed lib.rs delta is exact,Full-file hash/exact patch whitelist prevents hidden builder/transport hook,YES,negative_harness,inject hidden builder in lib.rs
S8A1R2-057,regression,Focused/compile-fail/negative/workspace gates pass,Serialized all-target tests/doctests/clippy/fmt green,YES,aggregate_gate,skip regression
S8A1R2-058,governance,Independent R1 acceptance opens Stage8A-2 only,No later slice or real send opens,YES,independent_review,self-open later slice
S8A1R2-059,authority,Stage8 durable authority requires dispatch-ready Stage6 proof,RequestAccepted alone is insufficient; exact durable DispatchAttemptRecorded record/sequence/frontier are bound,YES,ordered_trace,mint from accepted-only request
S8A1R2-060,authority,Normal forward request path can mint without restart,"New request -> durable accepted+dispatch -> current seal advance/reread -> Stage8 authority, with zero provider/transport effect",YES,integration,map positive proof to restart-only fixture
S8A1R2-061,seal,Stage8 issuance rereads the committed seal from disk,Delete/corrupt/valid-different seal immediately before issue fails and makes uncertainty fail-closed,YES,subprocess_fault,trust cached seal
S8A1R2-062,seal,Seal covers exact current Stage6 frontier,"If Stage6 checkpoint advances, Stage8 authority is blocked until covering seal is durably committed and reread",YES,ordered_trace,allow lagging seal
S8A1R2-063,issuer,All non-durable Stage8 proof authorities have production issuers,Arm/policy/clock/readiness/kill/ownership/ambiguity/truth/schedule/budget can be obtained only from reviewed source issuers; tests are not sole constructors,YES,black_box_integration,leave production issuers absent
S8A1R2-064,issuer,Production issuer graph is black-box usable,External integration test obtains all opaque authorities via production APIs and mints capability without private-field access,YES,black_box_integration,use private test literals as only positive path
S8A1R2-065,arm,Duplicate arm nonce is rejected by production issuer,Real issuer registry/owner rejects second issuance of same logical nonce in current generation,YES,issuer_integration,replace nonce proof with local test HashSet
S8A1R2-066,budget,Budget authority is source-backed rather than a free snapshot,Issuer proves exact account/strategy max-one availability from trusted budget source; arbitrary consumed_orders fields cannot be supplied,YES,issuer_integration,forge free budget snapshot
S8A1R2-067,invalidation,Current-state revalidation is required before later capability consumption,No-send continuation barrier rejects post-mint config/readiness/kill-switch/ownership/truth/budget drift,YES,unit+integration,use minted capability after StopRequested/config drift
S8A1R2-068,governance,Independent R2 acceptance opens only Stage8A-2,Builder composition remains absent from R2; no later/live surface opens,YES,independent_review,add builder in R2
