id,category,requirement,expected,mandatory,proof_type,negative_mutation
S8A1R3-044,kill_switch,Kill switch state must be RunAllowed,StopRequested/stale/unreadable/conflict blocks,YES,unit,remove RunAllowed
S8A1R3-045,ownership,Single-broker ownership is exact and strategy-scoped,FINAM count=1 plus exact strategy/account/instrument owner binding,YES,unit,use ownership for another strategy
S8A1R3-046,ambiguity,Zero ambiguity is exact and scope-bound,Counters zero for exact strategy/account scope,YES,unit,use zero counters from other scope
S8A1R3-047,broker_truth,Fresh broker truth authority is required,"Fresh broker truth/readiness comes from accepted current-source authority, not arbitrary public snapshot references",YES,current_source_authority,omit broker truth
S8A1R3-048,budget,Max-one engineering-micro budget authority is required,Opaque max-one budget authority is issued from trusted strategy/account budget source; unavailable/exhausted fails,YES,issuer_integration,omit/exhaust budget
S8A1R3-049,freshness,Evidence-age bounds are frozen,Caller cannot choose arbitrary max_evidence_age_ms,YES,policy_authority,widen evidence age
S8A1R3-050,clock,Freshness uses trusted current clock,Opaque trusted clock is production-issued/current; public caller cannot choose backdated time,YES,issuer_integration,backdate now
S8A1R3-051,coherence,All proof authorities share one operational identity,same account/instrument/strategy/restart/config/seal generation,YES,unit,mix proof scopes
S8A1R3-052,expiry,Capability validity is minimum of all authority expiries,No proof outlives weakest prerequisite,YES,unit,ignore one expiry
S8A1R3-053,cancel,CANCEL requires exact durable mapping,Exact existing order target and identities,YES,unit,bypass cancel mapping
S8A1R3-054,cancel,Terminal CANCEL mints no capability,AlreadyTerminal only,YES,unit,capability for terminal
S8A1R3-055,audit,Audit fingerprint binds exact command and authorities,"Includes durable command fingerprint, arm nonce, policy/seal/proof digests",YES,unit,omit command from audit fingerprint
S8A1R3-056,closed_surface,Allowed lib.rs delta is exact,Full-file hash/exact patch whitelist prevents hidden builder/transport hook,YES,negative_harness,inject hidden builder in lib.rs
S8A1R3-057,regression,Focused/compile-fail/negative/workspace gates pass,Serialized all-target tests/doctests/clippy/fmt green,YES,aggregate_gate,skip regression
S8A1R3-058,governance,Independent R1 acceptance opens Stage8A-2 only,No later slice or real send opens,YES,independent_review,self-open later slice
S8A1R3-059,authority,Stage8 durable authority requires dispatch-ready Stage6 proof,RequestAccepted alone is insufficient; exact durable DispatchAttemptRecorded record/sequence/frontier are bound,YES,ordered_trace,mint from accepted-only request
S8A1R3-060,authority,Normal forward request path can mint without restart,"New request -> durable accepted+dispatch -> current seal advance/reread -> Stage8 authority, with zero provider/transport effect",YES,integration,map positive proof to restart-only fixture
S8A1R3-061,seal,Stage8 issuance rereads the committed seal from disk,Delete/corrupt/valid-different seal immediately before issue fails and makes uncertainty fail-closed,YES,subprocess_fault,trust cached seal
S8A1R3-062,seal,Seal covers exact current Stage6 frontier,"If Stage6 checkpoint advances, Stage8 authority is blocked until covering seal is durably committed and reread",YES,ordered_trace,allow lagging seal
S8A1R3-063,issuer,All non-durable Stage8 proof authorities have production issuers,All non-durable proof authorities originate behind one trusted composition root/current-source authority; public raw factory bypass is impossible,YES,black_box_integration,leave production issuers absent
S8A1R3-064,issuer,Production issuer graph is black-box usable,Black-box trusted composition can mint; caller-chosen root/fake config/control/raw snapshots cannot,YES,black_box_integration,use private test literals as only positive path
S8A1R3-065,arm,Duplicate arm nonce is rejected by production issuer,Same durable request has at most one logical operator arm/capability; different nonce/value does not bypass replay protection,YES,issuer_integration,replace nonce proof with local test HashSet
S8A1R3-066,budget,Budget authority is source-backed rather than a free snapshot,Issuer proves exact account/strategy max-one availability from trusted budget source; arbitrary consumed_orders fields cannot be supplied,YES,issuer_integration,forge free budget snapshot
S8A1R3-067,invalidation,Current-state revalidation is required before later capability consumption,Current-state continuation barrier exists for both PLACE and CANCEL and rejects all post-mint authority drift,YES,unit+integration,use minted capability after StopRequested/config drift
S8A1R3-068,governance,Independent R2 acceptance opens only Stage8A-2,Builder composition remains absent from R2; no later/live surface opens,YES,independent_review,add builder in R2
S8A1R3-069,issuer_root,Issuer cannot open arbitrary caller-selected authority root,Construction requires opaque composition/root authority bound to operational identity and accepted Stage8 configuration,YES,type_boundary+black_box,open attacker temp root
S8A1R3-070,issuer_root,Accepted config has an external trust anchor,Config SHA/path identity is bound by trusted composition/startup authority; config+sidecar cannot be replaced together to widen policy,YES,black_box+fault,rewrite config and sidecar together
S8A1R3-071,issuer_root,Current-control source is authority-managed,RunAllowed/owner/budget state comes from pinned persistent control authority; arbitrary JSON file cannot authorize,YES,black_box+fault,write fake RunAllowed control
S8A1R3-072,current_sources,Readiness/truth/schedule source is provenance-backed,Minting cannot accept caller-constructed raw snapshots without an accepted current-source authority,YES,black_box,supply synthetic broker/readiness snapshots
S8A1R3-073,arm,One durable request receives at most one operator arm,Persistent request-keyed arm record rejects second issuance even with a different nonce or arm artifact,YES,issuer_integration,same request different nonce
S8A1R3-074,arm,Public caller does not choose arm uniqueness token,"Operator arm identity is generated/validated by trusted operator-control authority, not free-form string parameter",YES,type_boundary,caller chooses fresh nonce B
S8A1R3-075,invalidation,CANCEL has a symmetric current-state continuation barrier,Exact CANCEL capability is revalidated against current seal/config/control/readiness/truth/schedule/budget and target mapping,YES,unit+integration,use stale CANCEL capability
S8A1R3-076,filesystem,File-backed Stage8 authority root is identity-pinned,"Root/current-control/arm-registry replacement, symlink or identity drift fails closed; no path-substitution TOCTOU authority swap",YES,fault_matrix,swap authority root/control path
