id,category,requirement,expected,mandatory,evidence,negative_mutation
G78R1-045,outcome_cancel,CANCEL undocumented 409/410 remain defensive reconciliation,Do not coerce into success/rejection absent separately accepted waiver,YES,local_mock,cancel 409 -> success
G78R1-046,outcome_cancel,CANCEL 429/5xx/504/default are ambiguous,ReconciliationRequired; no blind retry,YES,fault_matrix,retry CANCEL on 429
G78R1-047,outcome,Generic all-4xx classifier is forbidden,Endpoint-specific tables override generic HTTP class,YES,static_gate,replace endpoint tables with generic 4xx -> reject
G78R1-048,outcome,DefinitelyNotSent requires transport proof,Only a pre-send/local connect failure with proof that no bytes could leave may use this class,YES,fault_matrix,infer definitely-not-sent from timeout
G78R1-049,reconciliation,Broker truth is fresh/account-scoped/instrument-scoped,"Orders, trades, positions and account truth satisfy freshness policy",YES,behavioral,allow stale truth
G78R1-050,reconciliation,Primary correlation uses exact durable identity,ClientOrderId first; BrokerOrderId when known; heuristics only supporting and bounded,YES,behavioral,heuristic match before client ID
G78R1-051,reconciliation,Orders/trades/positions normalize before decisions,FINAM rows map to broker-neutral canonical snapshots,YES,fixture_parity,decide on raw FINAM payload
G78R1-052,reconciliation,Multiple candidates fail closed,Conflict/manual intervention; no new live command,YES,negative,pick first multiple match
G78R1-053,reconciliation,Empty/missing/stale truth proves nothing,No rejected/flat inference from absence,YES,negative,empty snapshot -> rejection
G78R1-054,reconciliation,ProvenNoMatch is CLOSED in Stage8A,Stage8A cannot construct ProvenNoMatch; absence remains StillUnknown/ReconciliationRequired,YES,compile_fail+negative,single empty snapshot -> ProvenNoMatch
G78R1-055,reconciliation,Old ambiguous request is never redispatched,Reconciliation may close/hold old request; any new send requires a new durable request + new arm,YES,restart,redispatch old request after no-match
G78R1-056,reconciliation,Unresolved ambiguity blocks new execution,Zero unresolved ambiguous outcomes required before capability issuance,YES,negative,allow new PLACE with unresolved ambiguity
G78R1-057,limits,Allowlist is exact and deny-by-default,"One account, instrument, strategy owner and permitted command scope; any drift blocks",YES,negative,wildcard allowlist
G78R1-058,limits,Qty/price/notional/slippage are bounded,"Overflow, precision loss, missing multiplier, stale reference price fail closed",YES,negative,remove notional limit
G78R1-059,limits,Schedule/session eligibility is required,Closed/clearing/unknown schedule blocks PLACE,YES,fixture_matrix,ignore schedule
G78R1-060,micro,Stage8A contains no real micro execution,Micro budget types/policies may be modeled but no real POST/DELETE is possible,YES,closed_surface,open real micro in 8A
G78R1-061,micro,Stage8B remains separately accepted,"Real engineering micro requires dedicated Stage8B TZ, matrix and independent review",YES,governance,let Gate acceptance open 8B
G78R1-062,evidence,Stage8A starts with contract-refresh slice,No execution code before Stage8A-0 contract snapshot is independently accepted,YES,governance,skip Stage8A-0
G78R1-063,evidence,Stage8A reruns accepted Stage7B full gate,Exact accepted predecessor evidence remains green,YES,inherited_gate,remove Stage7B inherited gate
G78R1-064,evidence,Stage8A uses a new Stage8-specific closed-surface scanner,"Scanner pins no real FINAM send, no runtime-live, no second lifecycle/mapper authority",YES,closed_surface,reuse stale Stage5 scanner as sole authority
G78R1-065,evidence,Gate R1 checker pins all critical semantic clauses,"Endpoint status, TIF, ClientOrderId, ProvenNoMatch closed and kill-switch wording are mutation-tested",YES,negative_harness,remove endpoint-specific policy
G78R1-066,governance,Independent Gate R1 acceptance is the only transition event,Source package cannot self-open Stage8A; independent review records the decision,YES,independent_review,self-accept Gate
